Portugiesisch;Deutsch;Notiz
Bom dia;Guten Morgen / Guten Tag;
Boa tarde;Guten Nachmittag;
Boa noite;Guten Abend / Gute Nacht;
Olá;Hallo;
Por favor / Se faz favor;bitte;
Obrigado / Obrigada;danke (m / w);passt sich an Sprecher an!
Sim / Não;ja / nein;
Chamo-me Moritz;Ich heiße Moritz;chamar-se reflexiv
Como te chamas?;Wie heißt du? (informell);Como é que te chamas? = ausführlicher
Qual é o seu nome?;Wie heißen Sie? (formell);
Meu nome é...;Mein Name ist...;Alternative zu chamar-se
Sou da Alemanha;Ich komme aus Deutschland;ser + de
Sou alemão;Ich bin Deutscher;Nationalität ohne Artikel
Tenho 28 anos;Ich bin 28 Jahre alt;Achtung: ter (haben), nicht ser!
Quantos anos tens?;Wie alt bist du?;alternative: Que idade tem?
Sou empreendedor;Ich bin Unternehmer;Beruf ohne Artikel
Que horas são?;Wie spät ist es?;
É uma hora;Es ist 1 Uhr;Singular!
São duas horas;Es ist 2 Uhr;ab 2: São + Plural
E meia / E um quarto;halb / Viertel nach;
Meio-dia / Meia-noite;Mittag / Mitternacht;
A que horas?;Um wie viel Uhr?;Antwort: às oito
Estou com fome;Ich habe Hunger;estar com + Substantiv
Estou com sede;Ich habe Durst;
Estou com sono;Ich bin müde / schläfrig;
Estou com calor / frio;Mir ist heiß / kalt;
Estou com medo;Ich habe Angst;
Estou com saudades;Ich habe Sehnsucht;typisch portugiesisch!
Estou com inveja;Ich bin neidisch;
Estou com vontade de;Ich habe Lust auf;+ Inf/Substantiv
Estou com dor de dentes;Ich habe Zahnschmerzen;
Tu tens razão;Du hast Recht;
Não há problema;Kein Problem;
Não é bem...;Es ist nicht wirklich...;
É verdade;Das stimmt;
Acho que...;Ich denke, dass...;
O que achas?;Was hältst du davon?;
Quero te contar uma coisa;Ich möchte dir etwas erzählen;
O que mais?;Was noch?;
Pouco a pouco;Stück für Stück;
Vamos chegar lá;Wir werden es schaffen;
Sem consistência, sem sucesso;Ohne Konsistenz kein Erfolg;Spruch
Quanto mais tu tentas, mais chances tens;Je mehr du versuchst, desto mehr Chancen;Spruch
Não há sucesso sem riscos;Kein Erfolg ohne Risiken;
Não tens muito a perder;Du hast nicht viel zu verlieren;
Comer fora;auswärts essen;
Cultura de comer fora;Restaurantkultur;
Restaurante tradicional;traditionelles Restaurant;
Doce de mandioca;Maniok-Süßspeise;
Matraquilhos;Tischkicker;PT-PT-Wort
Tempo / Clima;Wetter / Klima;
Temperatura;Temperatur;
Tem sol / Está ensolarado;Es ist sonnig;
Chove / Está a chover;Es regnet;
Frio / Calor;Kalt / Hitze;Está frio / Está calor
Nuvens / Céu;Wolken / Himmel;
Inverno / Verão / Primavera / Outono;Winter / Sommer / Frühling / Herbst;
22 graus;22 Grad;
Coisa / Coisinhas;Sache / Kleinigkeiten;
Mistura;Mischung;
A mesma coisa;dasselbe;
Atrasado / Atrasada;verspätet;Atrasar-se = sich verspäten
Mudar-se;umziehen;reflexiv: De me mudar
Levar;mitnehmen / bringen;
Colocar / Pôr;setzen / legen;
Focar;sich konzentrieren;
Energia;Energie;Dá-te muita energia
Quão grande?;Wie groß?;
Durante o dia / a semana;während des Tages / der Woche;
Rotina semanal;Wochenroutine;
Infância;Kindheit;
Colega de quarto;Mitbewohner/in;Roommate
Tu inscreves-te;du meldest dich an;inscrever-se konjugiert
Eu inscrevo-me;ich melde mich an;
Área aberta;offener Bereich;
Convenção / Conferência;Konvention / Konferenz;convenção de tatuagem
Eu vim para...;Ich kam nach...;vir Pretérito
Eu acho que...;Ich denke, dass...;
Acho que a vida é assim;Das Leben ist halt so;philosophisch
Me deixa;Lass mich / macht mich;deixar = lassen
Parecido com;ähnlich wie;Komparativ-Konstruktion
Comparado com;verglichen mit;
Mesma língua;gleiche Sprache;mesmo/mesma
Por isso;deshalb;
Primeiro... depois...;zuerst... dann...;Sequenz
Mais X do que Y;mehr X als Y;Komparativ-Standard
Mais caro do que Lisboa;teurer als Lissabon;
Saiu caro / Saiu barato;es kam teuer / billig (raus);sair de preço
Gostaria de...;Ich würde gerne...;Konditional - höflich
Eu pensei;ich dachte;pensar Pretérito
Eu percebi;ich verstand / realisierte;perceber
Eu entendi;ich verstand;entender
Eu fiz pesquisa;ich habe recherchiert;fazer pesquisa
Sozinho / Sozinha;allein;Estou sozinho
Algumas / Alguns;einige;Algumas pessoas
Clube de corrida;Lauftreff;
Carpinteiro / Carpinteira;Zimmermann / Zimmerin;Handwerker
Ainda não;noch nicht;
Amo rotina;Ich liebe Routine;amar = lieben
Mudam-se para Espanha;Sie ziehen nach Spanien um;mudar-se 3.Pl
Ele vai sair / se mudar;Er wird ausziehen / umziehen;
Tu vais ficar feliz;Du wirst glücklich werden;ficar = werden
Vou ficar 2 meses;Ich werde 2 Monate bleiben;ficar = bleiben
No fim dos dois meses;am Ende der zwei Monate;
Na próxima semana;nächste Woche;
Na semana passada;letzte Woche;
Estou a 10 minutos de...;Ich bin 10 Minuten von... entfernt;Distanz/Zeit
Desculpe pelo atraso;Entschuldigung für die Verspätung;Standardausdruck
Estou à espera de...;Ich warte auf...;esperar mit Präposition
Estressado / Estressada;gestresst;Adjektiv
Não tem estresse;kein Stress;ugs.
Eu consegui;ich habe es geschafft;conseguir Pretérito
Tu conseguiste;du hast es geschafft;
Não consegui;ich habe es nicht geschafft;
Preparar comida;Essen zubereiten;
Carne de cabrito;Ziegenfleisch;
Sabor forte;starker Geschmack;
Tu podias;du könntest;Konditional von poder
Eu podia;ich könnte;
Não diria;Ich würde nicht sagen;Konditional von dizer
Se eu comprar...;Wenn ich kaufe...;Konjunktiv Futur
Calças de natação;Badehose;
Corajoso / Corajosa;mutig;
Louco / Louca;verrückt;
Doloroso / Dolorosa;schmerzhaft;
Não doeu;es tat nicht weh;
