Portugiesisch;Deutsch;Notiz
Médico / Médica;Arzt / Ärztin;ohne Artikel: Sou médico
Advogado / Advogada;Anwalt / Anwältin;
Professor / Professora;Lehrer / Lehrerin;
Engenheiro / Engenheira;Ingenieur / Ingenieurin;
Tradutor / Tradutora;Übersetzer / Übersetzerin;
Cantor / Cantora;Sänger / Sängerin;
Pintor / Pintora;Maler / Malerin;
Cabeleireiro / Cabeleireira;Friseur / Friseurin;
Jornalista;Journalist (gleich m/f);
Dentista;Zahnarzt (gleich m/f);
Motorista;Fahrer (gleich m/f);
Estudante;Student (gleich m/f);
Empreendedor / Empreendedora;Unternehmer / Unternehmerin;
Casado / Casada;verheiratet;
Solteiro / Solteira;ledig / single;
Divorciado / Divorciada;geschieden;
Viúvo / Viúva;verwitwet;
Pai;Vater;
Mãe;Mutter;
Pais;Eltern;ohne Akzent!
País;Land;MIT Akzent — anderes Wort!
Filho / Filha;Sohn / Tochter;
Irmão / Irmã;Bruder / Schwester;
Avó / Avô;Großmutter / Großvater;
Namorado / Namorada;Freund/in (Beziehung);
Segunda-feira;Montag;
Terça-feira;Dienstag;
Quarta-feira;Mittwoch;
Quinta-feira;Donnerstag;
Sexta-feira;Freitag;
Sábado / Domingo;Samstag / Sonntag;
Fim de semana;Wochenende;
Em casa;zu Hause;
No escritório;im Büro;
Na rua;auf der Straße;
Na praia;am Strand;
No restaurante;im Restaurant;
Cidade / Cidade natal;Stadt / Heimatstadt;
Vila;Dorf;Viver na vila
Faculdade / Universidade;Hochschule / Universität;
Estação do comboio;Bahnhof;PT-PT (BR: estação de trem)
Ginásio;Fitnessstudio;
Sauna;Sauna;
Terraço;Dachterrasse;
Parque;Park;
Floresta;Wald;
Natureza;Natur;Na natureza
Corpo;Körper;Todo o corpo = full body
Cabeça;Kopf;
Cabelo;Haar;
Olhos;Augen;Olhos castanhos = braune Augen
Pele;Haut;Secura na pele = trockene Haut
Dentes;Zähne;
Mão / Mãos;Hand / Hände;
Dor / Dores;Schmerz / Schmerzen;
Camisa;Hemd;
Calças;Hose;
Calções;kurze Hose;
Casaco;Jacke / Mantel;
Saia;Rock;
Sapatos;Schuhe;
Fato;Anzug;
Comida;Essen;Comida favorita = Lieblingsessen
Pequeno-almoço;Frühstück;
Almoço / Jantar;Mittagessen / Abendessen;
Café;Kaffee;
Pão;Brot;
Manteiga;Butter;
Queijo / Queijos;Käse;
Arroz;Reis;
Massa;Pasta / Nudeln;
Carne;Fleisch;
Peixe;Fisch;
Frango / Peito de frango;Hähnchen / Hähnchenbrust;
Fígado;Leber;
Feijão;Bohnen;
Aveia;Hafer;
Ovos;Eier;
Cebola;Zwiebel;
Alho;Knoblauch;
Limão;Zitrone;
Cenoura;Karotte;
Batata / Batatas;Kartoffel/n;
Pepino;Gurke;
Temperos;Gewürze;Páprica, folha de louro...
Sopa;Suppe;
Bolo;Kuchen;
Sushi;Sushi;
Bitoque;Bitoque (typisches PT-Gericht);Schweinefleisch + Reis + Pommes + Ei
Fruta;Frucht / Obst;
Morango;Erdbeere;Época de morango = Erdbeerzeit
Ananás;Ananas;PT-PT (BR: abacaxi)
Papaia;Papaya;
Graviola;Stachelannone;tropische Frucht
Maçã / Banana / Laranja;Apfel / Banane / Orange;
Trabalho com / como;Ich arbeite mit / als;com=Bereich, como=Rolle
Negócio;Geschäft;
Cliente;Kunde;
Parceiro / Parceira de negócios;Geschäftspartner/in;
Colega;Kollege/in;
Aplicação / App;App / Anwendung;
Sessão de fotos;Foto-Session;
Website;Website;
Mensagem / Mensagens;Nachricht/en;
Inteligência artificial;künstliche Intelligenz;
Sucesso;Erfolg;
Consistência;Konsistenz / Beständigkeit;
Riscos;Risiken;
Capítulo;Kapitel;Um novo capítulo
Futuro;Zukunft;Para o meu futuro
Resolver;lösen;
Fazer desporto;Sport machen;PT-PT (BR: esporte)
Treino / Treinar;Training / trainieren;
Quilómetros;Kilometer;PT-PT mit -ó (BR: quilômetros)
Caminhada;Spaziergang;
Corrida;Lauf / Joggen;
Aprendizagem;Lernen / Lernprozess;
Vocabulário;Vokabular;
Conversação;Konversation;
Conversar por mensagem;per Nachricht chatten;
Estou satisfeito;Ich bin zufrieden;
Progresso;Fortschritt;
Flores / Árvores;Blumen / Bäume;
Arco-íris;Regenbogen;
Casa;Haus / Zuhause;
Casa de banho;Badezimmer / Toilette;Onde fica a casa de banho?
