Portugiesisch;Deutsch;Notiz/Beispiel
Bom dia;Guten Morgen / Guten Tag;
Boa tarde;Guten Nachmittag;
Boa noite;Guten Abend / Gute Nacht;
Olá;Hallo;
Por favor / Se faz favor;bitte;
Obrigado / Obrigada;danke (m / w);passt sich an Sprecher an!
Sim / Não;ja / nein;
Eu;ich;
Tu;du (informell);in Brasilien selten, in Portugal Standard
Você;Sie / du (BR);formell PT, informell BR
Ele / Ela;er / sie;
Nós;wir;
Vocês;ihr / Sie (Plural);
Eles / Elas;sie (m+gemischt / nur w);
Chamo-me Moritz;Ich heiße Moritz;chamar-se reflexiv
Como te chamas?;Wie heißt du? (informell);Como é que te chamas? = ausführlicher
Qual é o seu nome?;Wie heißen Sie? (formell);
Meu nome é...;Mein Name ist...;Alternative zu chamar-se
Sou da Alemanha;Ich komme aus Deutschland;ser + de
Sou alemão;Ich bin Deutscher;Nationalität ohne Artikel
Tenho 28 anos;Ich bin 28 Jahre alt;Achtung: ter (haben), nicht ser!
Quantos anos tens?;Wie alt bist du?;alternative: Que idade tem?
Sou empreendedor;Ich bin Unternehmer;Beruf ohne Artikel
Quem;Wer;nur für Personen
Como;Wie;
Qual / Quais;Welche/r;Auswahl aus mehreren
O que / Que;Was;für Dinge, allgemein
Onde;Wo;
Quando;Wann;
Quanto / Quantos;Wie viel / Wie viele;
Porquê?;Warum?;Frage am Satzende
Porque;weil;Antwort
Eu sou;Ich bin;ser - Identität
Tu és;Du bist;
Ele/Ela é;Er/Sie ist;
Nós somos;Wir sind;
Eles são;Sie sind;
Eu estou;Ich bin (gerade);estar - temporär
Tu estás;Du bist (gerade);
Ele/Ela está;Er/Sie ist (gerade);
Nós estamos;Wir sind (gerade);
Eles estão;Sie sind (gerade);
Eu tenho;Ich habe;ter unregelmäßig
Tu tens;Du hast;
Ele/Ela tem;Er/Sie hat;
Nós temos;Wir haben;
Eles têm;Sie haben;mit Akzent!
Eu vou;Ich gehe / werde;ir + Inf = Zukunft
Tu vais;Du gehst;
Ele/Ela vai;Er/Sie geht;
Nós vamos;Wir gehen;
Eles vão;Sie gehen;
Eu venho;Ich komme;vir unregelmäßig
Tu vens;Du kommst;
Ele/Ela vem;Er/Sie kommt;
Nós vimos;Wir kommen;
Eles vêm;Sie kommen;
Médico / Médica;Arzt / Ärztin;ohne Artikel: Sou médico
Advogado / Advogada;Anwalt / Anwältin;
Professor / Professora;Lehrer / Lehrerin;
Engenheiro / Engenheira;Ingenieur / Ingenieurin;
Tradutor / Tradutora;Übersetzer / Übersetzerin;
Cantor / Cantora;Sänger / Sängerin;
Pintor / Pintora;Maler / Malerin;
Cabeleireiro / Cabeleireira;Friseur / Friseurin;
Jornalista;Journalist (gleich m/f);
Dentista;Zahnarzt (gleich m/f);
Motorista;Fahrer (gleich m/f);
Estudante;Student (gleich m/f);
Empreendedor / Empreendedora;Unternehmer / Unternehmerin;
Casado / Casada;verheiratet;
Solteiro / Solteira;ledig / single;
Divorciado / Divorciada;geschieden;
Viúvo / Viúva;verwitwet;
Pai;Vater;
Mãe;Mutter;
Pais;Eltern;ohne Akzent!
País;Land;MIT Akzent — anderes Wort!
Filho / Filha;Sohn / Tochter;
Irmão / Irmã;Bruder / Schwester;
Avó / Avô;Großmutter / Großvater;
Namorado / Namorada;Freund/in (Beziehung);
Meu / Minha;mein/e;passt zum BESITZ, nicht Besitzer
Teu / Tua;dein/e;informell
Seu / Sua;sein / ihr / Ihr (formell);ggf. mit dele/dela präzisieren
Nosso / Nossa;unser/e;
Vosso / Vossa;euer/e;selten in PT-PT
Dele / Dela;von ihm / von ihr;de + ele/ela
no / na / nos / nas;in/im (em + Artikel);em+o=no, em+a=na
do / da / dos / das;vom/von (de + Artikel);de+o=do
ao / à / aos / às;zum/zur (a + Artikel);a+o=ao
num / numa;in einem/einer;em+um, em+uma
trabalhar;arbeiten;Trabalho com... / como...
morar / viver;wohnen / leben;"synonym; Moro/Vivo em Frankfurt"
estudar;lernen / studieren;
falar;sprechen / reden;
comprar;kaufen;
apanhar;nehmen / fangen;z.B. metro, autocarro
tomar;nehmen / trinken;Tomar café
almoçar;zu Mittag essen;Achtung: ç!
jantar;zu Abend essen / Abendessen;
cozinhar;kochen;
viajar;reisen;
acordar;aufwachen;
começar;anfangen;Comecei a escrever = ich begann zu schreiben
chegar;ankommen;
regressar / voltar / retornar;zurückkehren;drei Synonyme
encontrar;treffen / finden;
ganhar;gewinnen / verdienen;
relaxar;entspannen;
desestressar;Stress abbauen;
caminhar / passear;spazieren gehen;
comer;essen;
beber;trinken;
conhecer;kennen;eu conheço (mit ç!)
aprender;lernen;
compreender;verstehen;eu compreendo
correr;laufen / joggen;
escrever;schreiben;
ver;sehen;eu vejo unregelmäßig
dizer;sagen;eu digo
fazer;machen;eu faço (mit ç!)
ler;lesen;eu leio
trazer;bringen;eu trago
perder;verlieren;eu perco
querer;wollen;eu quero
poder;können / dürfen;eu posso
saber;wissen / können (gelernt);eu sei + Inf = Fähigkeit
dever;sollen / müssen;
dar;geben;eu dou
partir;abreisen;
abrir;öffnen;
dividir;teilen;
decidir;entscheiden;
discutir;diskutieren;
permitir;erlauben;
admitir;zugeben;
vestir;anziehen;eu visto (e→i!)
servir;servieren;eu sirvo
sentir;fühlen;eu sinto
preferir;bevorzugen;eu prefiro
conseguir;schaffen / können;eu consigo
seguir;folgen;eu sigo
corrigir;korrigieren;eu corrijo (g→j)
dirigir;fahren / leiten;eu dirijo
traduzir;übersetzen;ele traduz (3.Pers ohne -e)
subir;hinaufsteigen;ele sobe (Vokalwechsel)
dormir;schlafen;eu durmo
fugir;fliehen;eu fujo
rir;lachen;
ouvir;hören;eu ouço (mit ç)
pedir;bitten;eu peço
sair;rausgehen;eu saio
cair;fallen;eu caio
construir;bauen;Construí uma casa
mentir;lügen;eu minto
