Portugiesisch;Deutsch;Notiz
Eu;ich;
Tu;du (informell);in Brasilien selten, in Portugal Standard
Você;Sie / du (BR);formell PT, informell BR
Ele / Ela;er / sie;
Nós;wir;
Vocês;ihr / Sie (Plural);
Eles / Elas;sie (m+gemischt / nur w);
Meu / Minha;mein/e;passt zum BESITZ, nicht Besitzer
Teu / Tua;dein/e;informell
Seu / Sua;sein / ihr / Ihr (formell);ggf. mit dele/dela präzisieren
Nosso / Nossa;unser/e;
Vosso / Vossa;euer/e;selten in PT-PT
Dele / Dela;von ihm / von ihr;de + ele/ela
no / na / nos / nas;in/im (em + Artikel);em+o=no, em+a=na
do / da / dos / das;vom/von (de + Artikel);de+o=do
ao / à / aos / às;zum/zur (a + Artikel);a+o=ao
num / numa;in einem/einer;em+um, em+uma
Sempre;immer;
Nunca;nie;
Às vezes;manchmal;
Com frequência;oft;
Quase;fast / beinahe;
Poucas vezes;selten;
Uma vez por semana;einmal pro Woche;
Duas a três vezes por semana;zwei bis drei Mal pro Woche;
Todos os dias;jeden Tag;
Hoje / Ontem / Amanhã;heute / gestern / morgen;
De manhã / De tarde / De noite;morgens / nachmittags / abends;
Cedo / Tarde;früh / spät;
Depois;danach / später / dann;
Depois de;nach (zeitlich);+ Substantiv/Infinitiv
Antes / Antes de;vorher / vor;
Agora;jetzt;
Até agora;bis jetzt;
De novo / Novamente;wieder / nochmal;
Logo / Mais tarde;gleich / später;
Última / Último;letzte/r;No último fim de semana
Direito / À direita;geradeaus / rechts;
À esquerda;links;
Diretamente;direkt;
Longe;weit (weg);
Perto;nah / in der Nähe;
Aqui / Lá;hier / dort;
Fora;draußen;
Dentro;drinnen;
Estou a + Inf;Ich bin gerade dabei zu...;PT-PT (BR: -ndo Form)
Estou a trabalhar;Ich arbeite gerade;
Está a funcionar;Es funktioniert (gerade);
Está a chover;Es regnet (gerade);
O que estás a fazer agora?;Was machst du gerade?;
Vou cozinhar;Ich werde kochen;ir + Inf
Vou viajar amanhã;Ich werde morgen reisen;
O que vais fazer?;Was wirst du machen?;
Fazer a mala;den Koffer packen;
Eu sei + Inf;Ich kann + Inf (gelernt);Sei nadar = Ich kann schwimmen
Posso + Inf;Ich darf / kann + Inf;Erlaubnis/Möglichkeit
Eu tento + Inf;Ich versuche + Inf;
Tenho que + Inf;Ich muss + Inf;
Comecei a + Inf;Ich habe angefangen zu...;começar a
Continuar a + Inf;weiter machen;
Mas;aber;
Também;auch;
Então;also / dann;Füllwort
Por exemplo;zum Beispiel;
Principalmente;vor allem;
Infelizmente;leider;
Felizmente;zum Glück;
Assim;so / auf diese Weise;
Quase;fast;
Só / Apenas;nur;
Já;schon;
Ainda;noch;
Para / Por;für / durch;Faustregel: para=Ziel, por=Grund
Comigo;mit mir;
Contigo;mit dir;
Connosco / Conosco;mit uns;PT-PT: connosco
Convosco;mit euch;
Para ti / Para si;für dich / für Sie;
Levantar-se;aufstehen;reflexiv
Levanto-me cedo;Ich stehe früh auf;nach Verb
Sentar-se;sich (hin)setzen;reflexiv
Sentamo-nos à mesa;Wir setzen uns an den Tisch;Achtung: s entfällt vor -nos!
Deitar-se;sich hinlegen / schlafen gehen;reflexiv
Deito-me tarde;Ich gehe spät schlafen;
Lavar-se;sich waschen;reflexiv
Nunca me deito cedo;Ich gehe nie früh schlafen;Pronomen vor Verb wegen 'nunca'
Também nos levantamos cedo;Wir stehen auch früh auf;Pronomen vor Verb wegen 'também'
Enquanto;während;enquanto corres
É permitido + Inf;es ist erlaubt zu ...;é permitido usar punhos
Do que;als (Vergleich);mais X do que Y
Já + Perfeito;schon einmal;eu já tentei
Nunca + Perfeito;nie;eu nunca estive
Abaixo de;unterhalb von;
Em menos de;in weniger als;
Devias + Inf;du solltest ...;Konditional, sehr häufig!
Tenho trabalhado muito;ich habe viel gearbeitet;Pretérito Perfeito Composto
