Portugiesisch;Deutsch;Notiz
Eu sou;Ich bin;ser - Identität
Tu és;Du bist;
Ele/Ela é;Er/Sie ist;
Nós somos;Wir sind;
Eles são;Sie sind;
Eu estou;Ich bin (gerade);estar - temporär
Tu estás;Du bist (gerade);
Ele/Ela está;Er/Sie ist (gerade);
Nós estamos;Wir sind (gerade);
Eles estão;Sie sind (gerade);
Eu tenho;Ich habe;ter unregelmäßig
Tu tens;Du hast;
Ele/Ela tem;Er/Sie hat;
Nós temos;Wir haben;
Eles têm;Sie haben;mit Akzent!
Eu vou;Ich gehe / werde;ir + Inf = Zukunft
Tu vais;Du gehst;
Ele/Ela vai;Er/Sie geht;
Nós vamos;Wir gehen;
Eles vão;Sie gehen;
Eu venho;Ich komme;vir unregelmäßig
Tu vens;Du kommst;
Ele/Ela vem;Er/Sie kommt;
Nós vimos;Wir kommen;
Eles vêm;Sie kommen;
trabalhar;arbeiten;Trabalho com... / como...
morar / viver;wohnen / leben;"synonym; Moro/Vivo em Frankfurt"
estudar;lernen / studieren;
falar;sprechen / reden;
comprar;kaufen;
apanhar;nehmen / fangen;z.B. metro, autocarro
tomar;nehmen / trinken;Tomar café
almoçar;zu Mittag essen;Achtung: ç!
jantar;zu Abend essen / Abendessen;
cozinhar;kochen;
viajar;reisen;
acordar;aufwachen;
começar;anfangen;Comecei a escrever = ich begann zu schreiben
chegar;ankommen;
regressar / voltar / retornar;zurückkehren;drei Synonyme
encontrar;treffen / finden;
ganhar;gewinnen / verdienen;
relaxar;entspannen;
desestressar;Stress abbauen;
caminhar / passear;spazieren gehen;
comer;essen;
beber;trinken;
conhecer;kennen;eu conheço (mit ç!)
aprender;lernen;
compreender;verstehen;eu compreendo
correr;laufen / joggen;
escrever;schreiben;
ver;sehen;eu vejo unregelmäßig
dizer;sagen;eu digo
fazer;machen;eu faço (mit ç!)
ler;lesen;eu leio
trazer;bringen;eu trago
perder;verlieren;eu perco
querer;wollen;eu quero
poder;können / dürfen;eu posso
saber;wissen / können (gelernt);eu sei + Inf = Fähigkeit
dever;sollen / müssen;
