Portugiesisch;Deutsch;Notiz/Beispiel
Bom dia;Guten Morgen / Guten Tag;[L01] Begrüßung
Olá;Hallo;[L01]
Eu sou;Ich bin;[L01] ser
Sou da Alemanha;Ich komme aus Deutschland;[L01]
Vivo em Frankfurt;Ich wohne in Frankfurt;[L01] viver
Moro em Frankfurt;Ich wohne in Frankfurt;[L01] morar
Tenho 28 anos;Ich bin 28 Jahre alt;[L01] ter (haben für Alter!)
Sou empreendedor;Ich bin Unternehmer;[L01]
Gosto de;Ich mag;[L01] + Verb oder Substantiv
Não gosto de;Ich mag nicht;[L01]
Trabalho com;Ich arbeite mit;[L01]
Trabalho como;Ich arbeite als;[L01]
Preguiça;Faulheit;[L01] Substantiv
Preguiçoso;faul (m);[L01] Adjektiv männlich
Preguiçosa;faul (w);[L01] Adjektiv weiblich
O que mais?;Was noch?;[L01] Frage
Meu nome é;Mein Name ist;[L01]
Chamo-me;Ich heiße;[L01] reflexiv
Como te chamas?;Wie heißt du?;[L01] informell, reflexiv
Qual é o seu nome?;Wie ist Ihr Name?;[L01] formell
Qual é a sua cidade preferida?;Was ist deine Lieblingsstadt?;[L01]
Onde moras?;Wo wohnst du?;[L01]
Onde vives?;Wo lebst du?;[L01]
Quem te recomendou a mim?;Wer hat dich mir empfohlen?;[L01]
Quando vais para Portugal?;Wann fährst du nach Portugal?;[L01]
O que é um carro elétrico?;Was ist ein Elektroauto?;[L01]
Que negócio queres fazer?;Was für ein Geschäft willst du machen?;[L01]
Porquê?;Warum?;[L01]
Quantos anos tens?;Wie alt bist du?;[L01]
Eu;ich;[L01] Pronomen
Tu;du;[L01] Pronomen (informell)
Ele;er;[L01]
Ela;sie;[L01]
Você;Sie / du (BR);[L01] formell PT, du in BR
Nós;wir;[L01]
Eles;sie (m. oder gemischt);[L01]
Elas;sie (nur weiblich);[L01]
Vocês;ihr / Sie (Plural);[L01]
gostar;mögen;[L01] Verb
trabalhar;arbeiten;[L01] Verb -ar
ter;haben;[L01] Verb unregelmäßig
viver;leben;[L01] Verb -er
viajar;reisen;[L01] Verb -ar
pessoas;Personen / Menschen;[L01]
preparar;vorbereiten;[L01]
esperar;warten;[L01]
cidade;Stadt;[L01]
