Portugiesisch;Deutsch;Notiz
Quem;Wer;nur für Personen
Como;Wie;
Qual / Quais;Welche/r;Auswahl aus mehreren
O que / Que;Was;für Dinge, allgemein
Onde;Wo;
Quando;Wann;
Quanto / Quantos;Wie viel / Wie viele;
Porquê?;Warum?;Frage am Satzende
Porque;weil;Antwort
Como funciona?;Wie funktioniert es?;
Como vai?;Wie geht es?;Como vai o seu projecto?
Como vão as coisas?;Wie laufen die Dinge?;
Que tipo de...?;Was für ein...?;Frage
Quanto custa?;Wie viel kostet es?;
Qual é o preço?;Wie ist der Preis?;
Há quanto tempo?;Wie lange schon?;Dauer-Frage
Que comida vais vender?;Welches Essen wirst du verkaufen?;
Tu assistes?;Schaust du?;
