Portugiesisch;Deutsch;Notiz
Alto / Baixo;groß / klein;
Magro / Magra;schlank / dünn;
Gordo / Gorda;dick;
Forte;stark;
Em forma;in Form / fit;
Sarado;muskulös / sportlich;umgangssprachlich
Bonito / Bonita;schön;
Engraçado / Engraçada;lustig;
Inteligente;intelligent;
Ambicioso / Ambiciosa;ehrgeizig;
Tranquilo / Tranquila;ruhig;
Difícil / Fácil;schwierig / einfach;
Cansativo;anstrengend;
Cansado / Cansada;müde;Estou cansado
Feliz / Triste;glücklich / traurig;
Contente;zufrieden / froh;
Saboroso;schmackhaft;
Fresco / Fresca;frisch;
Pesado / Pesada;schwer / deftig (Essen);
Salgado / Doce;salzig / süß;
Subestimado / Subestimada;unterschätzt;
Caro / Barato;teuer / billig;
Delicioso;köstlich;
Sozinho;allein;Eu vivo sozinho
Careca;Glatze / glatzköpfig;
Comprido;lang;
Largo / Larga;breit;
Preguiçoso / Preguiçosa;faul;Substantiv: preguiça
Branco / Branca;weiß;
Preto / Preta;schwarz;
Vermelho / Vermelha;rot;
Azul / Azuis;blau (Sg/Pl);
Verde;grün;
Amarelo / Amarela;gelb;
Castanho / Castanha;braun;
Cinzento / Cinzenta;grau;
Cor-de-laranja;orange;
Cor-de-rosa;rosa;
Louro / Loiro;blond;
Dourado;golden;
Estou bem;Es geht mir gut;
Estou cheio;Ich bin satt;
Estou cansado;Ich bin müde;
Estou feliz;Ich bin glücklich;
Me sinto muito bem;Ich fühle mich sehr gut;sentir-se reflexiv
Muito bem disposto;sehr gut gelaunt;
Diverti-me;Ich hatte Spaß;divertir-se
Foi divertido / Foi fixe;Es hat Spaß gemacht / Es war cool;fixe = umgangssprachlich
Quarto;Zimmer;
Mesa;Tisch;auch im Coworking
Seria;es wäre;Konditional von ser
Plano;Plan;Meu plano é...
Projecto;Projekt;PT-PT mit -ct! (BR: projeto)
Atraso;Verspätung;Substantiv
Subscrição;Abonnement;
Fritadeira;Fritteuse;
Shawarma;Shawarma;
Cachoeira;Wasserfall;
Molho;Sauce;
Sala;Raum / Saal;anders als quarto = Schlafzimmer!
Lista;Liste;
Apa;Fladenbrot;afrikanisches Brot
Cinema;Kino;
Estranho / Estranha;seltsam;é muito estranho
Parecido / Parecida;ähnlich;línguas parecidas
Intenso / Intensa;intensiv;mais intenso do que Muay Thai
Infeliz / Infelizes;unglücklich;infelizes com a vida
Musculoso / Musculosa;muskulös;
Burro / Burra;dumm;pessoas burras
